timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775468320483,96,HTTP Request-1,200,OK,Load Test-Scenario 2 - 50 Users 4-3,text,true,,34051,121,1,2,http://localhost/opencart/,94,0,0
1775468320564,123,HTTP Request,200,OK,Stress Test - 500 Users 6-8,text,true,,34671,241,2,5,http://localhost/opencart/,1,0,0
1775468320564,1,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-8,text,true,,620,120,2,5,http://localhost/opencart,1,0,0
1775468320565,122,HTTP Request-1,200,OK,Stress Test - 500 Users 6-8,text,true,,34051,121,2,5,http://localhost/opencart/,121,0,0
1775468320601,109,HTTP Request,200,OK,Load Test-Scenario 3 - 100 Users 5-4,text,true,,34671,241,1,4,http://localhost/opencart/,1,0,1
1775468320601,1,HTTP Request-0,301,Moved Permanently,Load Test-Scenario 3 - 100 Users 5-4,text,true,,620,120,1,4,http://localhost/opencart,1,0,1
1775468320602,108,HTTP Request-1,200,OK,Load Test-Scenario 3 - 100 Users 5-4,text,true,,34051,121,1,4,http://localhost/opencart/,107,0,0
1775468320632,116,HTTP Request,200,OK,Stress Test - 200 Users 2-6,text,true,,34671,241,1,3,http://localhost/opencart/,1,0,0
1775468320632,1,HTTP Request-0,301,Moved Permanently,Stress Test - 200 Users 2-6,text,true,,620,120,1,3,http://localhost/opencart,1,0,0
1775468320633,115,HTTP Request-1,200,OK,Stress Test - 200 Users 2-6,text,true,,34051,121,1,3,http://localhost/opencart/,112,0,0
1775468320680,104,HTTP Request,200,OK,Load Test-Scenario 1 - 10 Users 3-2,text,true,,34671,241,1,2,http://localhost/opencart/,1,0,1
1775468320680,1,HTTP Request-0,301,Moved Permanently,Load Test-Scenario 1 - 10 Users 3-2,text,true,,620,120,1,2,http://localhost/opencart,1,0,1
1775468320681,103,HTTP Request-1,200,OK,Load Test-Scenario 1 - 10 Users 3-2,text,true,,34051,121,1,2,http://localhost/opencart/,101,0,0
1775468320683,117,HTTP Request,200,OK,Stress Test - 500 Users 6-9,text,true,,34671,241,1,1,http://localhost/opencart/,1,0,0
1775468320683,1,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-9,text,true,,620,120,1,1,http://localhost/opencart,1,0,0
1775468320684,116,HTTP Request-1,200,OK,Stress Test - 500 Users 6-9,text,true,,34051,121,1,1,http://localhost/opencart/,113,0,0
1775468320803,146,HTTP Request,200,OK,Stress Test - 500 Users 6-10,text,true,,34671,241,2,5,http://localhost/opencart/,1,0,1
1775468320803,1,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-10,text,true,,620,120,2,5,http://localhost/opencart,1,0,1
1775468320804,145,HTTP Request-1,200,OK,Stress Test - 500 Users 6-10,text,true,,34051,121,2,5,http://localhost/opencart/,143,0,0
1775468320832,123,HTTP Request,200,OK,Stress Test - 200 Users 2-7,text,true,,34671,241,1,4,http://localhost/opencart/,2,0,1
1775468320832,2,HTTP Request-0,301,Moved Permanently,Stress Test - 200 Users 2-7,text,true,,620,120,1,4,http://localhost/opencart,2,0,1
1775468320834,121,HTTP Request-1,200,OK,Stress Test - 200 Users 2-7,text,true,,34051,121,1,4,http://localhost/opencart/,119,0,0
1775468320882,122,HTTP Request,200,OK,Load Test-Scenario 2 - 50 Users 4-4,text,true,,34671,241,1,3,http://localhost/opencart/,1,0,0
1775468320882,1,HTTP Request-0,301,Moved Permanently,Load Test-Scenario 2 - 50 Users 4-4,text,true,,620,120,1,3,http://localhost/opencart,1,0,0
1775468320883,121,HTTP Request-1,200,OK,Load Test-Scenario 2 - 50 Users 4-4,text,true,,34051,121,1,3,http://localhost/opencart/,119,0,0
1775468320900,142,HTTP Request,200,OK,Load Test-Scenario 3 - 100 Users 5-5,text,true,,34671,241,1,4,http://localhost/opencart/,1,0,0
1775468320900,1,HTTP Request-0,301,Moved Permanently,Load Test-Scenario 3 - 100 Users 5-5,text,true,,620,120,1,4,http://localhost/opencart,1,0,0
1775468320901,141,HTTP Request-1,200,OK,Load Test-Scenario 3 - 100 Users 5-5,text,true,,34051,121,1,4,http://localhost/opencart/,138,0,0
1775468320923,123,HTTP Request,200,OK,Stress Test - 500 Users 6-11,text,true,,34671,241,2,3,http://localhost/opencart/,1,0,0
1775468320923,1,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-11,text,true,,620,120,2,3,http://localhost/opencart,1,0,0
1775468320924,122,HTTP Request-1,200,OK,Stress Test - 500 Users 6-11,text,true,,34051,121,2,3,http://localhost/opencart/,121,0,0
1775468321042,123,HTTP Request,200,OK,Stress Test - 500 Users 6-12,text,true,,34671,241,2,3,http://localhost/opencart/,1,0,1
1775468321042,1,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-12,text,true,,620,120,2,3,http://localhost/opencart,1,0,1
